date,num
28,81
29,0
30,35
31,11
01,33
02,19
21,2
22,6
23,53
24,80
25,11
26,17
27,65
28,2
29,38
30,3
21,84
22,65
23,81
24,45
27,23
28,18
29,28
13,20
14,50
15,81
16,83
17,6
18,81
19,16
20,1
06,76
07,42
08,46
09,1
10,10
11,29
12,3
01,28
28,84
29,20
30,72
31,34
01,59
02,0
03,72
04,78
05,6
06,57
07,1
01,76
01,32
13,81
14,63
15,6
16,37
17,83
18,10
19,41
20,11
21,14
22,83
11,27
12,93
13,66
14,75
15,10
16,0
17,98
18,30
19,98
20,13
21,22
06,80
07,41
08,18
09,16
10,77
11,11
12,68
13,58
14,63
01,98
24,41
25,88
26,2
27,53
28,21
29,7
30,99
01,43
02,81
03,93
04,56
05,32
06,20
01,54
03,29
04,93
05,25
06,31
07,39
08,31
09,98
10,65
11,17
12,53
13,72
14,54
15,29
02,4
04,83
05,82
06,32
07,81
08,22
09,96
10,74
11,32
12,6
13,40
14,10
15,92
30,68
31,57
01,98
02,94
03,22
04,62
05,3
06,16
07,20
08,64
09,24
21,2
22,57
23,35
24,38
25,81
26,66
27,21
28,34
01,27
13,9
14,56
15,28
16,19
17,70
18,45
19,44
20,30
21,8
22,48
23,44
24,0
02,27
03,24
04,82
05,42
06,3
07,7
08,65
09,94
10,41
11,85
12,25
08,11
09,92
10,80
11,63
12,17
13,55
14,89
15,36
16,90
02,25
03,64
04,13
05,1
06,5
07,8
08,46
09,62
10,95
11,43
12,76
13,91
02,57
03,76
04,29
05,67
06,57
07,45
08,91
09,83
10,14
11,23
23,73
24,46
25,16
26,6
27,78
28,91
29,56
30,70
01,82
02,91
22,93
23,98
24,64
25,31
26,38
27,94
28,60
29,88
30,74
31,99
01,78
02,49
15,94
16,78
17,2
18,5
19,55
20,15
21,43
22,64
23,15
02,15
03,55
04,9
05,44
06,93
07,60
08,6
09,67
10,70
11,80
12,73
07,89
08,92
09,36
10,84
11,83
12,8
13,12
14,22
02,32
03,91
04,26
05,82
06,50
07,71
08,26
09,95
10,45
11,43
16,14
17,85
18,0
19,61
20,95
21,67
03,81
04,63
05,26
06,66
07,34
08,32
16,90
17,64
18,51
19,89
20,97
21,17
22,59
23,61
10,86
11,56
12,56
13,78
14,82
15,3
16,39
17,79
02,89
03,7
04,10
05,53
06,58
07,42
08,5
25,43
26,46
27,52
28,43
29,11
30,30
31,92
13,22
14,70
15,30
16,43
17,88
18,35
19,17
20,85
17,43
18,74
19,97
20,29
21,47
22,73
23,30
24,71
14,88
15,6
16,62
17,91
18,58
19,33
20,56
12,72
13,65
14,74
15,70
16,26
17,39
18,65
03,77
04,74
05,58
06,37
07,89
08,4
09,74
10,22
03,79
04,58
05,25
08,88
09,48
10,64
11,2
24,60
25,23
26,71
27,94
28,17
01,93
02,12
03,88
13,40
14,17
15,71
16,91
17,31
18,78
19,61
15,75
16,20
17,94
18,15
19,55
20,75
21,72
22,73
12,2
13,25
14,4
15,11
16,16
17,15
22,6
23,45
24,54
25,32
26,91
27,56
09,25
10,64
11,89
12,93
13,15
14,20
15,37
24,12
25,62
26,89
27,87
28,8
01,78
02,53
03,20
18,50
19,50
20,52
21,22
22,97
23,83
24,10
25,83
26,7
09,76
10,43
11,80
12,7
13,55
14,0
15,85
16,30
01,42
02,63
03,85
04,16
05,85
06,83
07,85
08,6
21,90
22,45
23,57
24,13
25,90
26,66
27,71
28,51
25,70
26,38
27,2
28,76
29,93
30,99
01,71
02,89
21,31
22,90
23,0
24,3
25,25
26,19
27,88
19,53
20,98
21,72
22,58
23,2
24,51
11,54
12,78
13,2
14,7
15,37
16,34
12,95
13,6
14,45
15,73
16,0
17,23
04,99
05,73
06,41
07,91
08,82
09,30
10,49
20,99
21,50
26,80
27,41
28,77
29,55
23,27
24,17
25,75
26,38
27,47
28,45
29,28
18,82
19,24
20,91
21,48
22,36
23,65
24,63
25,24
28,24
29,25
01,5
02,87
03,82
04,2
05,43
06,53
16,53
17,7
18,14
19,74
20,11
21,11
22,88
04,30
05,83
06,68
07,57
08,60
09,89
10,79
11,11
27,75
28,26
01,34
02,15
03,68
04,96
05,14
06,90
17,25
18,31
19,1
20,82
21,75
22,35
09,69
10,77
11,77
12,70
13,62
14,44
15,47
16,38
29,89
30,6
31,98
01,56
06,26
07,58
08,23
09,99
03,66
04,36
05,34
06,85
07,66
08,11
09,75
10,35
28,50
29,56
30,26
31,84
01,45
02,49
03,18
25,84
26,58
27,63
28,62
29,99
03,16
17,6
18,94
19,48
20,12
21,60
22,47
23,82
24,75
18,94
19,65
20,27
21,59
22,35
23,92
11,94
12,52
13,84
14,97
15,35
16,23
17,98
18,20
30,26
31,2
01,27
02,15
03,17
04,22
05,84
06,99
30,37
31,24
01,59
02,21
03,28
04,60
05,91
26,4
27,47
28,96
29,70
30,30
31,54
01,26
02,62
07,79
08,60
09,60
10,29
11,27
12,56
13,88
14,63
23,6
24,80
25,56
26,8
27,85
28,15
12,15
13,41
14,57
15,23
16,94
17,69
07,52
08,13
09,52
10,47
11,41
12,5
23,91
24,59
25,10
26,42
27,61
28,22
17,32
18,15
19,7
20,14
21,46
22,42
10,0
11,57
12,50
13,26
14,23
15,38
16,5
17,76
11,44
12,15
13,81
14,38
15,93
16,58
17,35
04,85
05,5
06,71
07,36
08,7
09,6
10,83
04,24
05,66
06,33
07,14
08,45
09,48
10,29
11,1
25,13
26,5
27,50
28,27
29,63
30,49
31,84
01,57
24,31
25,6
26,82
27,1
28,42
29,8
01,38
02,47
19,93
20,28
21,11
22,44
23,97
24,99
25,5
07,97
08,51
09,90
10,59
11,89
12,85
13,19
14,84
06,5
07,57
08,51
09,42
10,19
11,52
12,67
13,46
03,0
04,54
05,30
06,65
07,0
08,14
09,58
10,32
15,73
16,61
17,63
18,1
19,52
20,30
21,45
29,32
30,43
31,44
01,98
02,4
03,24
04,55
05,94
06,90
18,77
19,50
20,18
21,52
22,84
23,89
24,80
13,15
14,3
15,69
16,21
17,43
18,16
19,32
20,67
29,16
30,32
31,56
01,30
02,68
03,81
04,33
05,1
23,1
24,54
25,94
26,73
27,69
28,10
29,90
30,81
18,83
19,70
20,99
21,38
22,98
23,23
24,2
18,94
19,29
20,64
21,59
22,44
23,67
24,25
25,27
11,18
12,45
13,54
14,59
15,63
16,38
17,11
22,12
12,95
13,8
14,79
15,36
16,12
17,96
18,37
02,60
03,84
04,2
05,0
06,52
07,16
03,51
04,16
05,46
06,10
07,3
08,80
09,91
10,79
26,53
27,13
28,0
29,2
30,40
31,69
01,17
15,86
16,75
17,31
18,75
19,90
20,55
21,66
22,10
14,18
15,61
16,53
17,38
18,2
19,26
20,24
11,72
12,18
17,25
18,70
19,6
20,9
21,87
22,17
23,84
24,36
25,43
26,26
27,57
28,59
29,51
07,56
08,78
13,48
14,39
15,15
16,54
17,19
25,0
26,24
27,88
28,84
29,78
30,8
31,76
21,6
22,43
23,22
24,13
25,10
26,50
27,6
28,56
06,3
07,46
08,53
09,87
10,14
11,80
12,82
13,58
01,85
02,83
03,12
04,52
05,1
06,46
07,45
25,1
26,66
27,17
28,88
01,22
02,57
03,27
04,86
26,92
27,12
28,84
29,21
30,53
31,48
01,89
02,23
23,4
24,13
25,53
26,91
27,88
28,93
01,95
19,64
20,56
21,89
22,17
23,14
24,47
25,42
08,32
09,45
10,27
11,17
12,35
13,11
14,56
15,90
11,91
12,94
13,46
14,50
15,18
16,17
17,64
02,12
03,24
04,59
05,98
06,29
07,29
08,73
09,1
23,53
24,48
25,74
26,75
27,99
28,87
29,18
01,8
21,8
22,80
23,50
24,58
25,18
26,13
27,91
28,55
22,53
23,38
24,79
25,4
26,22
27,32
28,36
01,14
30,81
31,34
01,50
02,44
03,3
04,49
05,71
06,73
18,93
19,15
20,16
21,62
22,83
23,37
24,70
25,4
01,35
02,40
03,41
04,97
05,48
06,96
07,79
08,44
29,5
30,45
31,61
01,96
02,5
03,94
04,1
05,70
14,85
15,95
16,10
17,49
18,51
19,39
20,89
21,61
08,9
09,34
10,59
11,70
12,82
13,67
14,41
15,84
05,91
06,65
07,77
08,41
09,2
10,65
11,85
12,91
03,11
04,54
05,14
06,62
07,9
08,70
09,79
10,85
02,97
03,48
04,55
05,62
06,85
07,88
08,27
09,99
26,8
27,48
28,36
01,15
02,1
03,79
04,36
05,82
16,96
17,79
18,51
19,2
20,97
21,96
18,99
19,80
20,97
21,5
22,13
23,84
24,82
10,84
11,75
12,73
13,71
14,62
15,31
16,91
17,96
18,70
19,41
02,41
03,83
04,68
05,14
06,99
07,6
08,10
09,81
10,75
29,80
30,65
